Dataset,Method,Quality,Image,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Kodak,JPEG,60,kodim05.png,1.5969645182291667,30.297279887288106,0.9852395057678223,0.12196555733680725,15.028511733380896,1152.0,76.654296875
Kodak,JPEG,70,kodim05.png,1.8811238606770833,31.42747836303661,0.9885072708129883,0.09957397729158401,12.758330539362541,1152.0,90.2939453125
Kodak,JPEG,80,kodim05.png,2.33856201171875,33.11521524829668,0.9918837547302246,0.070081427693367,10.26271695158554,1152.0,112.2509765625
Kodak,JPEG,90,kodim05.png,3.3341064453125,36.16634445309448,0.9954838752746582,0.03534526750445366,7.198330465346172,1152.0,160.037109375
Kodak,JPEG,10,kodim06.png,0.35546875,25.721571608777893,0.8799106478691101,0.49736225605010986,67.51648351648352,1152.0,17.0625
Kodak,JPEG,20,kodim06.png,0.5675455729166666,28.09792289621063,0.9435712099075317,0.36543041467666626,42.28735302552337,1152.0,27.2421875
Kodak,JPEG,30,kodim06.png,0.74041748046875,29.38588805758908,0.9611935615539551,0.28589168190956116,32.41414557744621,1152.0,35.5400390625
Kodak,JPEG,40,kodim06.png,0.8817952473958334,30.336509992875627,0.9713312983512878,0.24025854468345642,27.217202713303493,1152.0,42.326171875
Kodak,JPEG,50,kodim06.png,1.0162760416666667,31.136810854147384,0.9772112369537354,0.20814248919487,23.615631005765536,1152.0,48.78125
Kodak,JPEG,60,kodim06.png,1.160400390625,31.931209567397953,0.9808070063591003,0.18351633846759796,20.68251630549127,1152.0,55.69921875
Kodak,JPEG,70,kodim06.png,1.3778076171875,33.05733841309478,0.9852346181869507,0.15048670768737793,17.418977584832106,1152.0,66.134765625
Kodak,JPEG,80,kodim06.png,1.7227986653645833,34.687073732932916,0.9895714521408081,0.11240831017494202,13.93082110086326,1152.0,82.6943359375
Kodak,JPEG,90,kodim06.png,2.527587890625,37.682986274729906,0.9939831495285034,0.06685532629489899,9.49521877716604,1152.0,121.32421875
Kodak,JPEG,10,kodim07.png,0.31048583984375,27.66570991846112,0.925568699836731,0.4604136049747467,77.29821112640063,1152.0,14.9033203125
Kodak,JPEG,20,kodim07.png,0.4543050130208333,30.529384963565022,0.9626202583312988,0.33185380697250366,52.82794446932378,1152.0,21.806640625
Kodak,JPEG,30,kodim07.png,0.5690714518229166,31.930555384642204,0.9739323854446411,0.27711349725723267,42.173965893246574,1152.0,27.3154296875
Kodak,JPEG,40,kodim07.png,0.66607666015625,32.9060938788522,0.9797238111495972,0.24057751893997192,36.03188857326125,1152.0,31.9716796875
Kodak,JPEG,50,kodim07.png,0.7597859700520834,33.743807297549594,0.9838265776634216,0.20961445569992065,31.5878430847503,1152.0,36.4697265625
Kodak,JPEG,60,kodim07.png,0.85833740234375,34.46349362415806,0.9859747886657715,0.18811547756195068,27.96103249662234,1152.0,41.2001953125
Kodak,JPEG,70,kodim07.png,1.013671875,35.46497342748147,0.9892406463623047,0.16408343613147736,23.67630057803468,1152.0,48.65625
Kodak,JPEG,80,kodim07.png,1.2670084635416667,36.863236495806,0.9919675588607788,0.13527876138687134,18.942257049264565,1152.0,60.81640625
