Dataset,Method,Quality,BPP,PSNR,MSSSIM,LPIPS,CR,OrigSize(KB),CompSize(KB)
Tecnick,Balle2018,4,0.3485777777777778,34.380037493307064,0.9804819107055665,0.27730374889714376,86.78959059194585,4218.75,61.2734375
Tecnick,Balle2018,5,0.4828450793650794,35.86980044010276,0.9861509340150015,0.24002982931477682,62.48530619921921,4218.75,84.87511160714286
Tecnick,Balle2018,6,0.6758514285714285,37.693296492558304,0.990097028868539,0.21301681527069638,45.50965164538293,4218.75,118.80200892857142
Tecnick,Cheng2020,1,0.097624126984127,30.39946232991547,0.9522873674120221,0.37929316673960006,352.40336561562077,4218.75,17.16049107142857
Tecnick,Cheng2020,2,0.14214857142857143,31.82470650343591,0.9652510574885778,0.3453834780624935,252.64401680910197,4218.75,24.98705357142857
Tecnick,Cheng2020,3,0.19947428571428572,33.141709491138165,0.9740555950573513,0.3149519728762763,181.09796207868098,4218.75,35.06383928571429
Tecnick,Cheng2020,4,0.2919333333333333,34.86544194424746,0.9809010011809213,0.2820499428680965,127.00998079470205,4218.75,51.31640625
Tecnick,Cheng2020,5,0.40810031746031744,36.33175809907026,0.9861561860357012,0.24942496929849897,87.26841421798628,4218.75,71.73638392857143
Tecnick,Cheng2020,6,0.5573473015873016,37.684844947367644,0.9898523041180202,0.2201401384813445,62.24037257211948,4218.75,97.97120535714286
Tecnick,JPEG,10,0.2837322222222222,27.981149790913385,0.9164259842463902,0.4483574177537646,90.12876405416532,4218.75,49.8748046875
Tecnick,JPEG,20,0.41706095238095237,30.57183808311579,0.953849366733006,0.35259348154067993,63.815821668390946,4218.75,73.31149553571429
Tecnick,JPEG,30,0.5289011111111112,31.89917580419651,0.9673914739063808,0.2970467661108289,51.22032191221577,4218.75,92.9708984375
Tecnick,JPEG,40,0.6239755555555555,32.77284057494558,0.9742750406265259,0.25855922528675623,43.8150899454294,4218.75,109.683203125
Tecnick,JPEG,50,0.7161993650793651,33.48805370960416,0.9787211111613683,0.2284815856388637,38.35210898467923,4218.75,125.89441964285714
Tecnick,JPEG,60,0.8171890476190475,34.11849152631252,0.9815510869026184,0.20630528373377663,33.70036719011085,4218.75,143.64651227678573
Tecnick,JPEG,70,0.9760001587301588,34.98276199323187,0.9850171804428101,0.17850862549883978,28.17369482469036,4218.75,171.56252790178573
Tecnick,JPEG,80,1.2443411111111111,36.20733298049855,0.9886604189872742,0.14389540553092955,21.920967980242057,4218.75,218.7318359375
Tecnick,JPEG,90,1.903539365079365,38.41206075904152,0.9927267874990191,0.09232317177312714,13.970288002189085,4218.75,334.60652901785716
Tecnick,Proposed,lambda_0.0005,0.00894291298919254,28.43976224610158,0.9387454748153686,0.3707672459738595,37508.46079205321,4218.75,1.571996423881501
Tecnick,Proposed,lambda_0.0018,0.04481960730658637,30.652707246377258,0.9598193321909223,0.3158566632441112,1840.243193073306,4218.75,7.878446596860885
Tecnick,Proposed,lambda_0.013,0.29641208333333335,33.46374980618749,0.976021272795541,0.256899442417281,120.06672858868839,4218.75,52.1036865234375
Tecnick,Proposed,lambda_0.019,0.3395220837983631,34.780025713883035,0.9814071774482727,0.22701286843844823,112.61833838273301,4218.75,59.681616292681014
